time,omega,i_a,i_b
0.0,0.0,0.0,0.0
0.0001,-0.007122634453938106,0.23500000000000001,0.0
0.0002,-0.01424424460456801,0.4657524089595859,0.0
0.0003,-0.02135860190328378,0.6923349716281825,0.0
0.0004,-0.02845981551921144,0.9148239998422834,0.0
0.0005,-0.03554231806944744,1.133294397540471,0.0
0.0006,-0.0426008519048523,1.3478196854877327,0.0
0.0007,-0.0496304559306968,1.558472025700966,0.0
0.0008,-0.05662645294218697,1.765322245568615,0.0
0.0009,-0.06358443745560098,1.968439861658349,0.0
0.001,-0.07050026401645593,2.167893103207606,0.0
0.0011,-0.07737003596678568,2.3637489352926533,0.0
0.0012,-0.08419009465425355,2.556073081672602,0.0
0.0013,-0.09095700906644485,2.7449300473055267,0.0
0.0014,-0.09766756587428617,2.930383140534507,0.0
0.0015,-0.10431875986911951,3.112494494942029,0.0
0.0016,-0.11090778477852237,3.2913250908717426,0.0
0.0017,-0.11743202444650791,3.4669347766170997,0.0
0.0018,-0.12388904436426518,3.6393822892768792,0.0
0.0019,-0.1302765835381066,3.8087252752780456,0.0
0.002,-0.13659254668178,3.9750203105667925,0.0
0.0021,-0.14283499672077618,4.138322920469001,0.0
0.0022,-0.1490021475967191,4.298687599221674,0.0
0.0023,-0.15509235736036758,4.4561678291772235,0.0
0.0024,-0.16110412154218257,4.61081609968277,0.0
0.0025,-0.16703606678982408,4.762683925636872,0.0
0.0026,-0.1728869447623389,4.911821865726327,0.0
0.0027,-0.1786556262711813,5.058279540345904,0.0
0.0028,-0.1843410956585774,5.202105649204059,0.0
0.0029,-0.18994244540409913,5.3433479886178405,0.0
0.003,-0.19545887095065598,5.482053468500359,0.0
0.0031,-0.2008896657414424,5.618268129044315,0.0
0.0032,-0.20623421645969697,5.752037157105212,0.0
0.0033,-0.21149199846343583,5.883404902287966,0.0
0.0034,-0.21666257140761777,6.012414892740737,0.0
0.0035,-0.2217455750464833,6.139109850659864,0.0
0.0036,-0.22674072520908367,6.263531707509857,0.0
0.0037,-0.23164780994127993,6.385721618962466,0.0
0.0038,-0.23646668580774602,6.50571997955887,0.0
0.0039,-0.24119727434775512,6.623566437099083,0.0
0.004,-0.24583955867876395,6.739299906762702,0.0
0.0041,-0.2503935802420367,6.8529585849651085,0.0
0.0042,-0.2548594356847689,6.964579962953297,0.0
0.0043,-0.2592372738733824,7.074200840145475,0.0
0.0044,-0.26352729303286415,7.181857337218575,0.0
0.0045,-0.2677297380072175,7.287584908947839,0.0
0.0046,-0.2718448976362826,7.391418356802597,0.0
0.0047,-0.2758731022443618,7.493391841302361,0.0
0.0048,-0.27981472123626133,7.593538894137323,0.0
0.0049,-0.28367016079652785,7.691892430057335,0.0
0.005,-0.2874398616878181,7.788484758533401,0.0
0.0051,-0.29112429714449695,7.8833475951956995,0.0
0.0052,-0.29472397085770696,7.976512073052104,0.0
0.0053,-0.2982394150482966,8.068008753491142,0.0
0.0054,-0.3016711886241326,8.157867637073283,0.0
0.0055,-0.3050198754184547,8.246118174114415,0.0
0.0056,-0.3082860825060591,8.332789275065329,0.0
0.0057,-0.3114704385942195,8.417909320690953,0.0
0.0058,-0.3145735924853747,8.501506172053075,0.0
0.0059,-0.3175962116087228,8.58360718030022,0.0
0.006,-0.3205389806179753,8.664239196268294,0.0
0.0061,-0.3234026000526265,8.74342857989558,0.0
0.0062,-0.32618778506019774,8.821201209455587,0.0
0.0063,-0.3288952641770119,8.897582490611239,0.0
0.0064,-0.3315257781651485,8.972597365293801,0.0
0.0065,-0.3340800789033198,9.046270320409922,0.0
0.0066,-0.33655892832949547,9.118625396380098,0.0
0.0067,-0.33896309743318637,9.189686195511806,0.0
0.0068,-0.3412933652953797,9.259475890210517,0.0
0.0069,-0.34355051817419385,9.328017231031755,0.0
0.007,-0.34573534863439687,9.395332554577266,0.0
0.0071,-0.3478486547190031,9.461443791238377,0.0
0.0072,-0.3498912391612327,9.52637247278951,0.0
0.0073,-0.3518639086351836,9.590139739834804,0.0
0.0074,-0.3537674730436306,9.652766349110735,0.0
0.0075,-0.355602744841427,9.714272680647557,0.0
0.0076,-0.3573705383930427,9.77467874479236,0.0
0.0077,-0.35907166936283075,9.834004189096468,0.0
0.0078,-0.36070695413666753,9.892268305069871,0.0
0.0079,-0.36227720927366597,9.949490034805311,0.0
0.008,-0.3637832509867094,10.00568797747462,0.0
0.0081,-0.36522589465060484,10.060880395699828,0.0
0.0082,-0.3666059543366995,10.11508522180154,0.0
0.0083,-0.3679242423728496,10.168320063927013,0.0
0.0084,-0.3691815689276745,10.220602212060331,0.0
0.0085,-0.3703787416180704,10.271948643917023,0.0
0.0086,-0.37151656513899706,10.322376030725405,0.0
0.0087,-0.3725958409145917,10.371900742896937,0.0
0.0088,-0.3736173667696983,10.42053885558777,0.0
0.0089,-0.37458193662093886,10.468306154153668,0.0
0.009,-0.3754903401864857,10.515218139500424,0.0
0.0091,-0.37634336271372787,10.561290033331858,0.0
0.0092,-0.3771417847240558,10.606536783297418,0.0
