time,omega,i_a,i_b
0.9221,156.69971953886,13.926759484146261,4.899999999999988
0.9222,156.69823968882056,13.927265252296944,4.899999999999988
0.9223,156.69675803624216,13.927774523840771,4.899999999999988
0.9224,156.69527458147803,13.928287298829549,4.899999999999988
0.9225,156.69378932488223,13.928803577314001,4.899999999999988
0.9226,156.69230226680955,13.929323359343762,4.899999999999988
0.9227,156.6908134076156,13.929846644967373,4.899999999999988
0.9228,156.68932274765675,13.93037343423229,4.899999999999988
0.9229,156.68783028729018,13.930903727184875,4.899999999999988
0.923,156.68633602687385,13.931437523870398,4.899999999999988
0.9231,156.68483996676648,13.93197482433304,4.899999999999988
0.9232,156.6833421073276,13.932515628615885,4.899999999999988
0.9233,156.6818424489175,13.933059936760927,4.899999999999988
0.9234,156.68034099189728,13.933607748809065,4.899999999999988
0.9235,156.6788377366288,13.934159064800102,4.899999999999988
0.9236,156.6773326834747,13.93471388477275,4.899999999999988
0.9237,156.67582583279844,13.93527220876462,4.899999999999988
0.9238,156.6743171849642,13.935834036812226,4.899999999999988
0.9239,156.672806740337,13.936399368950989,4.899999999999988
0.924,156.67129449928262,13.936968205215228,4.899999999999988
0.9241,156.66978046216767,13.937540545638168,4.899999999999988
0.9242,156.66826462935944,13.93811639025193,4.899999999999988
0.9243,156.6667470012261,13.938695739087537,4.899999999999988
0.9244,156.66522757813655,13.939278592174913,4.899999999999988
0.9245,156.66370636046048,13.93986494954288,4.899999999999988
0.9246,156.6621833485684,13.940454811219157,4.899999999999988
0.9247,156.66065854283153,13.941048177230359,4.899999999999988
0.9248,156.65913194362196,13.941645047602004,4.899999999999988
0.9249,156.6576035513125,13.9422454223585,4.899999999999988
0.925,156.65607336627676,13.942849301523154,4.899999999999988
0.9251,156.65454138888916,13.943456685118168,4.899999999999988
0.9252,156.65300761952483,13.944067573164636,4.899999999999988
0.9253,156.65147205855976,13.94468196568255,4.899999999999988
0.9254,156.6499347063707,13.945299862690792,4.899999999999988
0.9255,156.64839556333513,13.945921264207136,4.899999999999988
0.9256,156.6468546298314,13.94654617024825,4.899999999999988
0.9257,156.6453119062386,13.947174580829694,4.899999999999988
0.9258,156.64376739293655,13.947806495965915,4.899999999999988
0.9259,156.64222109030592,13.948441915670255,4.899999999999988
0.926,156.64067299872815,13.94908083995494,4.899999999999988
0.9261,156.63912311858545,13.949723268831088,4.899999999999988
0.9262,156.63757145026082,13.950369202308705,4.899999999999988
0.9263,156.63601799413803,13.951018640396684,4.899999999999988
0.9264,156.63446275060164,13.951671583102808,4.899999999999988
0.9265,156.632905720037,13.95232803043374,4.899999999999988
0.9266,156.63134690283022,13.952987982395035,4.899999999999988
0.9267,156.6297862993682,13.953651438991129,4.899999999999988
0.9268,156.62822391003863,13.954318400225343,4.899999999999988
0.9269,156.62665973522996,13.954988866099885,4.899999999999988
0.927,156.62509377533146,13.955662836615844,4.899999999999988
0.9271,156.62352603073316,13.95634031177319,4.899999999999988
0.9272,156.62195650182582,13.957021291570777,4.899999999999988
0.9273,156.62038518900107,13.957705776006344,4.899999999999988
0.9274,156.61881209265127,13.958393765076504,4.899999999999988
0.9275,156.61723721316955,13.959085258776755,4.899999999999988
0.9276,156.61566055094985,13.959780257101471,4.899999999999988
0.9277,156.6140821063869,13.96047876004391,4.899999999999988
0.9278,156.61250187987616,13.961180767596206,4.899999999999988
0.9279,156.61091987181393,13.961886279749368,4.899999999999988
0.928,156.60933608259725,13.962595296493285,4.899999999999988
0.9281,156.60775051262394,13.963307817816725,4.899999999999988
0.9282,156.6061631622926,13.964023843707327,4.899999999999988
0.9283,156.60457403200266,13.96474337415161,4.899999999999988
