time,omega,i_a,i_b
0.0038,-0.12708229219546416,17.401017874870774,10.006128968782047
0.0039,-0.12410334216007407,17.846356245054178,10.128977555579404
0.004,-0.12073767579619893,18.291035902894286,10.247564048549098
0.0041,-0.11698384775477316,18.735054761765106,10.362036316252496
0.0042,-0.11284059820732117,19.178410684139507,10.472537097117206
0.0043,-0.10830684236090432,19.621101486440605,10.579204177421303
0.0044,-0.10338166048394179,20.063124943656145,10.682170563102606
0.0045,-0.09806428841970509,20.504478793721336,10.78156464560721
0.0046,-0.09235410856531012,20.945160741676002,10.877510361984102
0.0047,-0.08625064129500976,21.385168463602295,10.97012734942547
0.0048,-0.0797535368075254,21.82449961034949,11.059531094445402
0.0049,-0.07286256737805,22.263151811052577,11.145833076883012
0.005,-0.06557761999641,22.70112267645151,11.22914090890952
0.0051,-0.057898689373690165,23.138409802018167,11.309558469212659
0.0052,-0.04982587130040669,23.57501077089795,11.387186032525689
0.0053,-0.041359356340060174,24.010923156673197,11.462120394662552
0.0054,-0.03249942384261412,24.446144525955333,11.534454993215077
0.0055,-0.023246436263126863,24.880672440812813,11.604280024062717
0.0056,-0.013600833771417471,25.31450446104175,11.671682553840133
0.0057,-0.0035631291392699757,25.74763814628601,11.736746628502823
0.0058,0.006866097107722869,26.180071058013503,11.799553378126195
0.0059,0.017686201286004715,26.611800761355177,11.860181118068756
0.006,0.028896480909372232,27.0428248268132,11.918705446625554
0.0061,0.04049617881502404,27.473140831844486,11.975199339293647
0.0062,0.052484487071103515,27.902746362325722,12.029733239767133
0.0063,0.06486055067601976,28.33163901390577,12.082375147775211
0.0064,0.07762347105937428,28.759816393251157,12.133190703872806
0.0065,0.09077230939388417,29.187276119190216,12.182243271289463
0.0066,0.10430608972727463,29.614015823761246,12.229594014938604
0.0067,0.11822380194271435,30.04003315316982,12.275301977685631
0.0068,0.13252440455598433,30.465325768660225,12.319424153970006
0.0069,0.14720682735720558,30.88989134730587,12.362015560873088
0.007,0.16226997390460096,31.313727582723192,12.403129306720349
0.0071,0.17771272387743142,31.736832185713553,12.44281665730352
0.0072,0.19353393529492738,32.159202884837285,12.481127099805235
0.0073,0.20973244660772888,32.580837426924035,12.51810840450587
0.0074,0.22630707866805574,33.001733577523176,12.553806684349544
0.0075,0.24325663658454802,33.42188912129811,12.58826645244354
0.0076,0.26057991146744935,33.84130186236792,12.621530677562845
0.0077,0.27827568206954895,34.259969624599805,12.653640837729032
0.0078,0.2963427163280525,34.677890251855445,12.684636971930269
0.0079,0.31477977281231756,35.09506160819448,12.714557730046973
0.008,0.3335856020821649,35.51148157803788,12.743440421045344
0.0081,0.3527589479612609,35.927148066294116,12.771321059498874
0.0082,0.37229854872986273,36.34205899845062,12.798234410495851
0.0083,0.3922031382410198,36.75621232063318,12.824214032988852
0.0084,0.41247144696413773,37.169605999635536,12.84929232164026
0.0085,0.43310220295963103,37.58223802292144,12.873500547216006
0.0086,0.454094132788219,37.99410639860134,12.8968688955779
0.0087,0.47544596235825415,38.40520915538566,12.919426505323155
0.0088,0.49715641771431685,38.81554434251662,12.941201504118066
0.0089,0.5192242257701568,39.22511002968025,12.962221043771113
0.009,0.5416481149889213,39.63390430690057,12.982511334089258
0.0091,0.5644268160134696,40.041925284417154,13.00209767555963
0.0092,0.5875590622494443,40.449171092547935,13.021004490897358
0.0093,0.6110435904036429,40.85563988153842,13.039255355498879
0.0094,0.6348791409801121,41.26132982139876,13.056873026838714
0.0095,0.6590644587362756,41.66623910172987,13.07387947284635
0.0096,0.6835982931012929,42.070365931539804,13.09029589929862
0.0097,0.7084793985587434,42.47370853905146,13.10614277626173
0.0098,0.7337065349956302,42.87626517150263,13.121439863615915
0.0099,0.7592784680196013,43.278034094939414,13.136206235694546
0.01,0.7851939692461946,43.67901359400381,13.150460305068409
0.0101,0.8114518165578254,44.0792019717164,13.16421984550481
0.0102,0.8380507943361534,44.47859754925483,13.177502014130154
0.0103,0.8649896936693823,44.87719866572891,13.190323372823597
0.0104,0.8922673125359739,45.275003677952924,13.202699908868492
0.0105,0.9198824559661819,45.67201096021582,13.21464705488734
0.0106,0.9478339361827429,46.068218904049864,13.226179708085127
0.0107,0.9761205727219954,46.46362591799827,13.237312248825031
0.0108,1.0047411925366336,46.85823042738235,13.248058558559674
0.0109,1.0336946300812444,47.25203087406859,13.258432037140256
0.011,1.0629797273817134,47.64502571623612,13.268445619525187
0.0111,1.0925953340895382,48.037213428144966,13.278111791909007
0.0112,1.1225403075220264,48.42859249990538,13.287442607291755
0.0113,1.1528135126893115,48.81916143724867,13.296449700508164
0.0114,1.183413822309071,49.208918761299756,13.305144302735432
0.0115,1.2143401168097803,49.59786300835176,13.313537255497671
0.0116,1.2455912843233004,49.98599272964284,13.321639024184487
0.0117,1.2771662206675514,50.37330649113555,13.329459711100535
0.0118,1.3090638293199817,50.75980287329886,13.337009068062352
0.0119,1.3412830213825109,51.14548047089305,13.344296508558148
0.012,1.3738227155385851,51.53033789275764,13.351331119485723
0.0121,1.4066818380029484,51.91437376160251,13.358121672483156
0.0122,1.4398593224647023,52.29758671380227,13.364676634866393
0.0123,1.4733541100241967,52.67997539919404,13.371004180187356
0.0124,1.5071651491242601,53.06153848087881,13.377112198425754
0.0125,1.5412913954762546,53.44227463502622,13.38300830582731
0.0126,1.5757318119814108,53.82218255068314,13.388699854400649
0.0127,1.610485368647873,54.20126092958582,13.394193941084708
0.0128,1.645551042503862,54.57950848597591,13.399497416598097
0.0129,1.6809278175073352,54.95692394642009,13.404616893981428
0.013,1.7166146844525096,55.33350604963366,13.409558756843298
0.0131,1.752610640873583,55.70925354630785,13.414329167320163
0.0132,1.788914690945976,56.08416519894093,13.418934073760076
0.0133,1.8255258453853938,56.45823978167323,13.423379218139829
0.0134,1.8624431213449921,56.83147608012586,13.427670143224773
0.0135,1.899665542310912,57.20387289124331,13.431812199480241
0.0136,1.9371921379964319,57.575429023139776,13.435810551743172
0.0137,1.9750219442349732,57.94614329494925,13.439670185662287
0.0138,2.0131540028721755,58.31601453667933,13.44339591391482
0.0139,2.051587361657248,58.6850415890687,13.446992382207572
0.014,2.0903210741337896,59.05322330344828,13.450464075069759
0.0141,2.129354199530255,59.420558541605914,13.453815321444889
0.0142,2.1686858026502356,59.787046175654744,13.457050300088637
0.0143,2.2083149537627103,60.15268508790493,13.46017304477944
0.0144,2.248240728492412,60.51747417073895,13.463187449348316
0.0145,2.2884622077104457,60.88141232649024,13.46609727253419
0.0146,2.3289784774252777,61.244498467325215,13.46890614267076
0.0147,2.3697886286742245,61.60673151512855,13.471617562210753
0.0148,2.4108917574155333,61.96811040139172,13.474234912093237
0.0149,2.452286964421168,62.328634067104694,13.476761455959391
0.015,2.493973355170381,62.68830146265074,13.479200344222024
0.0151,2.5359500397441646,63.04711154770432,13.481554617993913
0.0152,2.57821613272065,63.40506329113188,13.483827212879838
0.0153,2.6207707530715334,63.76215567089567,13.486020962637069
0.0154,2.6636130240595888,64.11838767396037,13.488138602708844
0.0155,2.7067420731373266,64.47375829620248,13.490182773635272
0.0156,2.750157031846855,64.82826654232251,13.492156024345885
0.0157,2.793857035720988,65.18191142575984,13.494060815337967
0.0158,2.8378412241856448,65.53469196861008,13.49589952174461
0.0159,2.8821087404635812,65.88660720154512,13.497674436296327
0.016,2.9266587314794856,66.23765616373556,13.499387772179924
0.0161,2.971490347766468,66.58783790277559,13.501041665798171
0.0162,3.0166027433739724,66.93715147461019,13.502638179433745
0.0163,3.0619950757771344,67.2855959434647,13.504179303820738
0.0164,3.1076665057876,67.63317038177658,13.505666960626957
0.0165,3.153616197465826,67.9798738701293,13.507103004850103
0.0166,3.1998433180348744,68.32570549718842,13.508489227130815
0.0167,3.2463470377957093,68.6706643596397,13.50982735598546
0.0168,3.293126530044006,69.01474956212915,13.511119059961475
0.0169,3.340180970988478,69.35796021720513,13.512365949717914
0.017,3.3875095396707247,69.70029544526223,13.513569580033824
0.0171,3.435111417886598,70.04175437448707,13.514731451746936
0.0172,3.482985790109094,70.3823361408058,13.515853013625104
0.0173,3.5311318434127594,70.7220398878334,13.516935664172806
0.0174,3.579548767399613,71.06086476682455,13.517980753374975
0.0175,3.6282357541265733,71.39880993662624,13.518989584380332
0.0176,3.6771919980343863,71.73587456363185,13.51996341512632
0.0177,3.726416695878047,72.07205782173683,13.520903459907652
0.0178,3.775909046658699,72.4073588922958,13.521810890890448
0.0179,3.825668251557005,72.74177696408111,13.52268683957384
0.018,3.8756935138679736,73.07531123324277,13.52353239820087
0.0181,3.9259840389372345,73.4079609032697,13.524348621120433
0.0182,3.9765390340987374,73.73972518495232,13.525136526101969
0.0183,4.027357708613872,74.07060329634635,13.525897095604554
0.0184,4.078439273611982,74.40059446273781,13.526631278001947
0.0185,4.129782942032268,74.7296979166093,13.527339988765144
0.0186,4.18138792856705,75.05791289760718,13.528024111603905
0.0187,4.233253449606385,75.38523865251014,13.528684499568667
0.0188,4.285378723184009,75.71167443519855,13.529321976114245
0.0189,4.337762968924595,76.037219506625,13.529937336126608
0.019,4.390405407992303,76.36187313478575,13.530531346914051
0.0191,4.443305263040605,76.6856345946932,13.531104749163973
