time,omega,i_a,i_b
4.6342,58.4852425815702,6.019073226371223,13.547058823529389
4.6343,58.48551205567607,6.016807287234735,13.547058823529389
4.6344,58.48578120087837,6.014542520867523,13.547058823529389
4.6345,58.48605001707072,6.0122789281638065,13.547058823529389
4.6346,58.48631850414685,6.010016510017343,13.547058823529389
4.6347,58.48658666200064,6.007755267321427,13.547058823529389
4.6348,58.4868544905261,6.0054952009688884,13.547058823529389
4.6349,58.48712198961735,6.0032363118520955,13.547058823529389
4.635,58.487389159168664,6.000978600862951,13.547058823529389
4.6351,58.487655999074434,5.998722068892895,13.547058823529389
4.6352,58.48792250922918,5.996466716832901,13.547058823529389
4.6353,58.48818868952756,5.994212545573481,13.547058823529389
4.6354,58.48845453986436,5.991959556004677,13.547058823529389
4.6355,58.48872006013449,5.989707749016069,13.547058823529389
4.6356,58.488985250233,5.9874571254967695,13.547058823529389
4.6357,58.48925011005507,5.985207686335425,13.547058823529389
4.6358,58.489514639495994,5.982959432420214,13.547058823529389
4.6359,58.489778838451215,5.980712364638851,13.547058823529389
4.636,58.490042706816304,5.97846648387858,13.547058823529389
4.6361,58.49030624448696,5.976221791026179,13.547058823529389
4.6362,58.49056945135901,5.973978286967956,13.547058823529389
4.6363,58.490832327328405,5.9717359725897525,13.547058823529389
4.6364,58.49109487229125,5.969494848776941,13.547058823529389
4.6365,58.49135708614376,5.967254916414424,13.547058823529389
4.6366,58.491618968782284,5.965016176386634,13.547058823529389
4.6367,58.49188052010331,5.962778629577534,13.547058823529389
4.6368,58.49214174000344,5.960542276870618,13.547058823529389
4.6369,58.49240262837943,5.958307119148908,13.547058823529389
4.637,58.49266318512816,5.956073157294956,13.547058823529389
4.6371,58.492923410146624,5.953840392190841,13.547058823529389
4.6372,58.49318330333197,5.951608824718172,13.547058823529389
4.6373,58.49344286458145,5.949378455758087,13.547058823529389
4.6374,58.493702093792486,5.947149286191248,13.547058823529389
4.6375,58.4939609908626,5.944921316897847,13.547058823529389
4.6376,58.49421955568945,5.942694548757604,13.547058823529389
4.6377,58.49447778817083,5.9404689826497625,13.547058823529389
4.6378,58.49473568820468,5.938244619453094,13.547058823529389
4.6379,58.49499325568904,5.936021460045897,13.547058823529389
4.638,58.4952504905221,5.933799505305992,13.547058823529389
4.6381,58.49550739260219,5.93157875611073,13.547058823529389
4.6382,58.495763961827755,5.929359213336981,13.547058823529389
4.6383,58.496020198097376,5.927140877861143,13.547058823529389
4.6384,58.49627610130977,5.924923750559139,13.547058823529389
4.6385,58.496531671363776,5.922707832306413,13.547058823529389
4.6386,58.49678690815838,5.920493123977935,13.547058823529389
4.6387,58.49704181159268,5.918279626448196,13.547058823529389
4.6388,58.497296381565924,5.91606734059121,13.547058823529389
